year,0,2,3,4,5
2021,Week 1,Sep 12,W,32-6,at Atlanta Falcons
2021,Week 2,Sep 19,L,17-11,vs San Francisco 49ers
2021,Week 3,Sep 27,L,41-21,at Dallas Cowboys
2021,Week 4,Oct 3,L,42-30,vs Kansas City Chiefs
2021,Week 5,Oct 10,W,21-18,at Carolina Panthers
2021,Week 6,Oct 14,L,28-22,vs Tampa Bay Buccaneers
2021,Week 7,Oct 24,L,33-22,at Las Vegas Raiders
2021,Week 8,Oct 31,W,44-6,at Detroit Lions
2021,Week 9,Nov 7,L,27-24,vs Los Angeles Chargers
2021,Week 10,Nov 14,W,30-13,at Denver Broncos
2021,Week 11,Nov 21,W,40-29,vs New Orleans Saints
2021,Week 12,Nov 28,L,13-7,at New York Giants
2021,Week 13,Dec 5,W,33-18,at New York Jets
2021,Week 14,Bye Week,Bye Week,Bye Week,
2021,Week 15,Dec 21,W,27-17,vs Washington Football Team
2021,Week 16,Dec 26,W,34-10,vs New York Giants
2021,Week 17,Jan 2,W,20-16,at Washington Football Team
2021,Week 18,Jan 8,L,51-26,vs Dallas Cowboys
